100
0,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
20,2
21,2
21,3
22,3
23,3
23,4
23,5
23,6
24,6
24,7
24,8
24,9
24,10
24,11
25,11
26,11
26,12
26,13
26,14
27,14
28,14
28,15
28,16
29,16
29,17
29,18
30,18
30,19
31,19
32,19
33,19
33,20
34,20
34,21
35,21
35,22
35,23
35,24
35,25
35,26
35,27
36,27
36,28
36,29
36,30
36,31
36,32
36,33
37,33
37,34
37,35
37,36
38,36
39,36
39,37
40,37
41,37
41,38
41,39
41,40
41,41
41,42
41,43
42,43
43,43
44,43
45,43
45,44
46,44
47,44
48,44
48,45
49,45
50,45
51,45
51,46
51,47
51,48
51,49
51,50
51,51
51,52
51,53
51,54
52,54
53,54
54,54
55,54
55,55
55,56
55,57
55,58
55,59
56,59
57,59
58,59
59,59
60,59
60,60
60,61
60,62
60,63
61,63
61,64
62,64
62,65
63,65
63,66
64,66
65,66
65,67
65,68
65,69
66,69
67,69
68,69
69,69
69,70
69,71
69,72
69,73
69,74
70,74
71,74
72,74
72,75
72,76
72,77
72,78
73,78
74,78
75,78
75,79
76,79
77,79
78,79
79,79
80,79
80,80
81,80
82,80
82,81
83,81
83,82
84,82
85,82
85,83
86,83
86,84
87,84
88,84
88,85
89,85
90,85
90,86
90,87
90,88
91,88
91,89
91,90
91,91
92,91
92,92
92,93
92,94
92,95
92,96
93,96
94,96
95,96
96,96
96,97
97,97
97,98
97,99
98,99
99,99
100,99
100,100
