100
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
12,1
13,1
14,1
15,1
15,2
15,3
16,3
16,4
16,5
17,5
18,5
18,6
18,7
19,7
20,7
21,7
22,7
23,7
24,7
25,7
25,8
26,8
27,8
28,8
29,8
29,9
29,10
30,10
31,10
31,11
32,11
32,12
32,13
32,14
32,15
33,15
34,15
34,16
34,17
35,17
35,18
35,19
35,20
35,21
35,22
35,23
35,24
35,25
35,26
36,26
36,27
37,27
38,27
38,28
38,29
39,29
39,30
39,31
40,31
41,31
41,32
41,33
42,33
43,33
44,33
45,33
46,33
47,33
47,34
47,35
48,35
49,35
49,36
50,36
51,36
51,37
51,38
52,38
52,39
52,40
52,41
52,42
52,43
53,43
54,43
54,44
54,45
54,46
55,46
55,47
56,47
56,48
57,48
58,48
58,49
58,50
59,50
59,51
60,51
60,52
60,53
60,54
61,54
62,54
63,54
64,54
65,54
66,54
67,54
68,54
68,55
69,55
70,55
71,55
72,55
73,55
74,55
74,56
75,56
76,56
76,57
76,58
77,58
77,59
77,60
77,61
77,62
78,62
79,62
79,63
79,64
79,65
79,66
79,67
79,68
79,69
79,70
79,71
79,72
79,73
80,73
81,73
82,73
82,74
82,75
83,75
83,76
84,76
85,76
86,76
86,77
87,77
88,77
88,78
88,79
88,80
88,81
89,81
89,82
89,83
90,83
90,84
91,84
92,84
92,85
93,85
94,85
94,86
94,87
94,88
95,88
95,89
95,90
95,91
96,91
96,92
96,93
96,94
97,94
98,94
98,95
98,96
99,96
99,97
100,97
100,98
100,99
100,100
